City Council,Civil Rights,10,
City Council,City Clerk,10,
City Council,Communications,10,
City Council,CPED-Economic Policy & Development,10,
City Council,Intergovernmental Relations,10,
City Council,Neighborhood Community Relations,10,
City Council,PW-Admin,10,
City Clerk,City Council,4,
City Clerk,Information Technology,7,
City Clerk,Neighborhood Community Relations,10,
Civil Rights,City Council,4,
Civil Rights,Information Technology,7,
Civil Rights,Neighborhood Community Relations,10,
City Coordinator,Civil Rights,10,
City Coordinator,City Council,4,
City Coordinator,Communications,10,
City Coordinator,CPED-Long Range Planning,7,
City Coordinator,Human Resources,4,
City Coordinator,Intergovernmental Relations,10,
City Coordinator,Information Technology,7,
City Coordinator,Neighborhood Community Relations,10,
City Coordinator,PW-Admin,7,
City Attorney,City Coordinator,7,
City Attorney,Civil Rights,10,
City Attorney,City Clerk,10,
City Attorney,City Council,4,
City Attorney,Communications,7,
City Attorney,CPED-Long Range Planning,4,
City Attorney,Finance-Development Finance,7,
City Attorney,Information Technology,10,
City Attorney,PW-Admin,7,
City Assessor,City Council,4,
City Assessor,Information Technology,10,
